name,dosage_form,strength,unit,category,form,unit_price
Paracetamol 500mg tablet,tablet,500mg,tablet,Analgesic,,50
Ibuprofen 400mg tablet,tablet,400mg,tablet,Analgesic,,80
Diclofenac 50mg tablet,tablet,50mg,tablet,Analgesic,,70
Amoxicillin 500mg capsule,capsule,500mg,capsule,Antibiotic,,120
Ceftriaxone 1g injection,injection,1g,vial,Antibiotic,,350
Azithromycin 500mg tablet,tablet,500mg,tablet,Antibiotic,,300
Metformin 500mg tablet,tablet,500mg,tablet,Antidiabetic,,60
Glibenclamide 5mg tablet,tablet,5mg,tablet,Antidiabetic,,55
Amlodipine 5mg tablet,tablet,5mg,tablet,Antihypertensive,,90
Losartan 50mg tablet,tablet,50mg,tablet,Antihypertensive,,110
Furosemide 40mg tablet,tablet,40mg,tablet,Diuretic,,70
Salbutamol 2mg/5ml syrup,syrup,2mg/5ml,ml,Bronchodilator,,85
Omeprazole 20mg capsule,capsule,20mg,capsule,Antacid,,130
Artemether/Lumefantrine tablet,tablet,20/120mg,tablet,Antimalarial,Coartem,450
Insulin regular injection,injection,100IU/ml,vial,Antidiabetic,,900
